model,feature,importance
RandomForest,rating_diff,0.5495614863655863
RandomForest,opponent_pre_rating,0.1738120213282839
RandomForest,player_pre_rating,0.09194474895043335
RandomForest,player_recent_avg_opponent_rating_90d,0.04825794290223693
RandomForest,player_recent_win_rate_90d,0.04520159897804916
RandomForest,player_games_last_365d,0.03458711835855761
RandomForest,player_games_last_90d,0.02743047200574308
RandomForest,player_games_last_30d,0.017665755035335785
RandomForest,time_control_Regular,0.005243779495197519
RandomForest,time_control_Unknown,0.0038196992078458995
RandomForest,missing_recent_avg_opp_90d,0.0012747921769004414
RandomForest,missing_recent_win_rate_90d,0.0012005851958302133
GradientBoosting,rating_diff,0.892485475569347
GradientBoosting,opponent_pre_rating,0.04177215817487351
GradientBoosting,player_recent_avg_opponent_rating_90d,0.01687682861224097
GradientBoosting,player_pre_rating,0.01410177693818488
GradientBoosting,player_recent_win_rate_90d,0.012985060442560275
GradientBoosting,player_games_last_90d,0.008796224352275615
GradientBoosting,player_games_last_365d,0.005170631201339263
GradientBoosting,player_games_last_30d,0.005163246534829364
GradientBoosting,time_control_Unknown,0.0026484734378653847
GradientBoosting,missing_recent_avg_opp_90d,1.2473648391368752e-07
GradientBoosting,missing_recent_win_rate_90d,0.0
GradientBoosting,time_control_Regular,0.0
