model,split,accuracy,precision,recall,f1,roc_auc,cv_mean_roc_auc,best_params
LogisticRegression,Train,0.7261285450578956,0.7214799588900308,0.72,0.7207392197125256,0.7974947179825229,0.7923567319422214,"{""clf__C"": 0.1, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}"
LogisticRegression,Validation,0.7415818324197337,0.7353896103896104,0.7306451612903225,0.7330097087378641,0.8186883193401089,0.7923567319422214,"{""clf__C"": 0.1, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}"
LogisticRegression,Test,0.7339593114241002,0.7138314785373608,0.7372742200328407,0.7253634894991923,0.8246371689235459,0.7923567319422214,"{""clf__C"": 0.1, ""clf__penalty"": ""l2"", ""clf__solver"": ""lbfgs""}"
RandomForest,Train,0.762544051015271,0.7483552631578947,0.7777777777777778,0.7627829002514669,0.8594952926660242,0.7868874979388247,"{""max_depth"": 8, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 200}"
RandomForest,Validation,0.7376664056382146,0.7168949771689498,0.7596774193548387,0.7376664056382146,0.816907251927137,0.7868874979388247,"{""max_depth"": 8, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 200}"
RandomForest,Test,0.7378716744913928,0.7069486404833837,0.7684729064039408,0.7364280094413848,0.8234111643729705,0.7868874979388247,"{""max_depth"": 8, ""min_samples_leaf"": 4, ""min_samples_split"": 2, ""n_estimators"": 200}"
GradientBoosting,Train,0.7388823628125525,0.7250904307793489,0.7538461538461538,0.7391887361716393,0.8203418803418804,0.7871494423981031,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}"
GradientBoosting,Validation,0.7314017227877838,0.714064914992272,0.7451612903225806,0.7292817679558011,0.8158859920459568,0.7871494423981031,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}"
GradientBoosting,Test,0.741001564945227,0.7145061728395061,0.7602627257799671,0.7366746221161495,0.8248335260087232,0.7871494423981031,"{""learning_rate"": 0.05, ""max_depth"": 3, ""n_estimators"": 100}"
